"fdcId","description","dataType","calories","protein","fat","carbs"
"1098621","Turkey, wing, smoked, skin eaten","Survey (FNDDS)","221","27.4","12.4","0"
"1098622","Turkey, tail","Survey (FNDDS)","294","22.2","22.8","0"
"1098623","Turkey, back","Survey (FNDDS)","203","25.6","11.3","0"
"1098624","Turkey, canned","Survey (FNDDS)","185","25.3","8.1","0.9"
"1098625","Turkey, ground","Survey (FNDDS)","201","27.1","10.3","0"
"1098626","Turkey, nuggets","Survey (FNDDS)","236","22.2","8.66","17.1"
"1098627","Turkey bacon, cooked","Survey (FNDDS)","368","29.5","25.9","4.24"
"1098628","Turkey bacon, reduced sodium, cooked","Survey (FNDDS)","253","13.3","20","4.8"
"1098629","Turkey with barbecue sauce, skin eaten","Survey (FNDDS)","195","18.2","8.16","12.2"
"1098630","Turkey with barbecue sauce, skin not eaten","Survey (FNDDS)","150","18.9","2.82","12.2"
"1098631","Duck, cooked, skin eaten","Survey (FNDDS)","336","18.9","28.2","0"
"1098632","Duck, cooked, skin not eaten","Survey (FNDDS)","200","23.4","11.2","0"
"1098633","Duck, roasted, skin eaten","Survey (FNDDS)","336","18.9","28.2","0"
"1098634","Duck, roasted, skin not eaten","Survey (FNDDS)","200","23.4","11.2","0"
"1098635","Duck, pressed, Chinese","Survey (FNDDS)","151","5.34","11.7","6.24"
"1098636","Goose, wild, roasted","Survey (FNDDS)","304","25.1","21.8","0"
"1098637","Cornish game hen, cooked, skin eaten","Survey (FNDDS)","257","22.1","18.1","0"
"1098638","Cornish game hen, cooked, skin not eaten","Survey (FNDDS)","133","23.1","3.84","0"
"1098639","Cornish game hen, roasted, skin eaten","Survey (FNDDS)","257","22.1","18.1","0"
"1098640","Cornish game hen, roasted, skin not eaten","Survey (FNDDS)","133","23.1","3.84","0"
"1098641","Dove, cooked, NS as to cooking method","Survey (FNDDS)","212","23.8","13","0"
"1098642","Dove, fried","Survey (FNDDS)","223","23.1","13.8","1.44"
"1098643","Quail, cooked","Survey (FNDDS)","226","25","14","0"
"1098644","Pheasant, cooked","Survey (FNDDS)","238","32.3","12","0"
"1098645","Chicken, baby food, NS as to strained or junior","Survey (FNDDS)","138","13.8","8.75","0.05"
"1098646","Chicken, baby food, strained","Survey (FNDDS)","130","13.7","7.9","0.1"
"1098647","Chicken, baby food, junior","Survey (FNDDS)","146","14","9.6","0"
"1098648","Turkey, baby food, NS as to strained or junior","Survey (FNDDS)","111","11.5","6.2","1.4"
"1098649","Turkey, baby food, strained","Survey (FNDDS)","111","11.5","6.2","1.4"
"1098650","Turkey, baby food, junior","Survey (FNDDS)","111","11.5","6.2","1.4"
"1098651","Chicken stick, baby food","Survey (FNDDS)","188","14.6","14.4","1.5"
"1098652","Turkey stick, baby food","Survey (FNDDS)","188","13.7","14.2","1.4"
"1098653","Beef liver, braised","Survey (FNDDS)","189","28.8","5.22","5.09"
"1098654","Beef liver, fried","Survey (FNDDS)","174","26.3","4.64","5.12"
"1098655","Chicken liver, braised","Survey (FNDDS)","166","24.3","6.46","0.86"
"1098656","Chicken liver, fried","Survey (FNDDS)","189","20","8.66","6.41"
"1098657","Liver paste or pate, chicken","Survey (FNDDS)","201","13.4","13.1","6.55"
"1098658","Heart, cooked","Survey (FNDDS)","164","28.2","4.69","0.15"
"1098659","Kidney, cooked","Survey (FNDDS)","157","27","4.61","0"
"1098660","Sweetbreads, cooked","Survey (FNDDS)","124","22.5","3.08","0"
"1098661","Brains, cooked","Survey (FNDDS)","150","11.6","10.4","1.47"
"1098662","Tongue, cooked","Survey (FNDDS)","282","19.1","22.1","0"
"1098663","Tongue, smoked, cured, or pickled, cooked","Survey (FNDDS)","277","18.8","21.7","0"
"1098664","Tongue pot roast, Puerto Rican style","Survey (FNDDS)","317","21","25","0.34"
"1098665","Tripe, cooked","Survey (FNDDS)","89","12.6","3.85","0"
"1098666","Chitterlings, cooked","Survey (FNDDS)","231","12.4","20.2","0"
"1098667","Hog maws, cooked","Survey (FNDDS)","250","26.5","16","0"
"1098668","Gizzard, cooked","Survey (FNDDS)","153","30.1","2.66","0"
"1098669","Frankfurter or hot dog, NFS","Survey (FNDDS)","331","12.3","29.5","3.04"
"1098670","Frankfurter or hot dog, cheese-filled","Survey (FNDDS)","305","11.7","26.5","5.01"
"1098671","Frankfurter or hot dog, beef","Survey (FNDDS)","331","12.3","29.5","3.04"
"1098672","Frankfurter or hot dog, beef and pork","Survey (FNDDS)","292","10.2","25.4","5.28"
"1098673","Frankfurter or hot dog, beef and pork, reduced fat or light","Survey (FNDDS)","292","10.2","25.4","5.28"
"1098674","Frankfurter or hot dog, meat and poultry, fat free","Survey (FNDDS)","115","13.2","1.67","11.8"
"1098675","Frankfurter or hot dog, meat and poultry","Survey (FNDDS)","292","10.2","25.4","5.28"
"1098676","Frankfurter or hot dog, meat and poultry, reduced fat or light","Survey (FNDDS)","127","16.3","2.95","8.84"
"1098677","Frankfurter or hot dog, chicken","Survey (FNDDS)","235","12.9","18.2","4.01"
"1098678","Frankfurter or hot dog, turkey","Survey (FNDDS)","235","12.9","18.2","4.01"
"1098679","Frankfurter or hot dog, beef, reduced fat or light","Survey (FNDDS)","127","16.3","2.95","8.84"
"1098680","Frankfurter or hot dog, reduced fat or light, NFS","Survey (FNDDS)","127","16.3","2.95","8.84"
"1098681","Beef sausage","Survey (FNDDS)","328","13.3","28.7","3.37"
"1098682","Beef sausage, reduced fat","Survey (FNDDS)","267","20.9","20.3","0.15"
"1098683","Beef sausage, reduced sodium","Survey (FNDDS)","233","19.9","11.1","13.2"
"1098684","Beef sausage with cheese","Survey (FNDDS)","332","13.8","29","3.4"
"1098685","Blood sausage","Survey (FNDDS)","379","14.6","34.5","1.29"
"1098686","Bratwurst","Survey (FNDDS)","333","13.7","29.2","2.85"
"1098687","Bratwurst, with cheese","Survey (FNDDS)","337","14.2","29.4","2.94"
"1098688","Bologna, NFS","Survey (FNDDS)","281","10.3","23.8","6.31"
"1098689","Bologna, made from any kind of meat, reduced fat","Survey (FNDDS)","204","11.8","14.8","5.2"
"1098690","Bologna, made from any kind of meat, reduced sodium","Survey (FNDDS)","281","10.3","23.8","6.31"
"1098691","Bologna, made from any kind of meat, reduced fat and reduced sodium","Survey (FNDDS)","204","11.8","14.8","5.2"
"1098692","Turkey or chicken and beef sausage","Survey (FNDDS)","263","16.5","20.5","2.23"
"1098693","Chorizo","Survey (FNDDS)","346","19.3","28.1","2.63"
"1098694","Head cheese","Survey (FNDDS)","157","13.8","10.9","0"
"1098695","Knockwurst","Survey (FNDDS)","307","11.1","27.7","3.2"
"1098696","Mortadella","Survey (FNDDS)","311","16.4","25.4","3.05"
"1098697","Pastrami, NFS","Survey (FNDDS)","147","21.8","5.82","0.36"
"1098698","Pastrami, made from any kind of meat, reduced fat","Survey (FNDDS)","115","18.6","3.69","0.64"
"1098699","Pepperoni, NFS","Survey (FNDDS)","504","19.2","46.3","1.18"
"1098700","Pepperoni, reduced fat","Survey (FNDDS)","378","21.1","31.6","0.72"
"1098701","Pepperoni, reduced sodium","Survey (FNDDS)","504","19.2","46.3","1.18"
"1098702","Polish sausage","Survey (FNDDS)","337","12.4","29.7","5.03"
"1098703","Italian sausage","Survey (FNDDS)","322","18.2","26.2","2.15"
"1098704","Sausage, NFS","Survey (FNDDS)","325","18.5","27.2","1.42"
"1098705","Pork sausage","Survey (FNDDS)","325","18.5","27.2","1.42"
"1098706","Pork sausage, reduced fat","Survey (FNDDS)","267","20.9","20.3","0.15"
"1098707","Pork sausage, reduced sodium","Survey (FNDDS)","233","19.9","11.1","13.2"
"1098708","Pork sausage rice links","Survey (FNDDS)","267","20.9","20.3","0.15"
"1098709","Pork and beef sausage","Survey (FNDDS)","326","15.9","28","2.4"
"1098710","Salami, NFS","Survey (FNDDS)","378","21.1","31.6","0.72"
"1098711","Salami, made from any type of meat, reduced fat","Survey (FNDDS)","172","19.2","9.21","1.55"
"1098712","Salami, made from any type of meat, reduced sodium","Survey (FNDDS)","378","21.1","31.6","0.72"
"1098713","Scrapple, cooked","Survey (FNDDS)","227","8.57","14.8","15"
"1098714","Thuringer","Survey (FNDDS)","362","17.4","30.4","3.33"
"1098715","Turkey or chicken sausage","Survey (FNDDS)","199","19.6","12.2","1.09"
"1098716","Turkey or chicken sausage, reduced sodium","Survey (FNDDS)","230","20","10.7","13.3"
"1098717","Turkey or chicken sausage, reduced fat","Survey (FNDDS)","199","19.6","12.2","1.09"
"1098718","Turkey or chicken and pork sausage","Survey (FNDDS)","307","22.7","23","0.7"
"1098719","Turkey or chicken, pork, and beef sausage, reduced sodium","Survey (FNDDS)","233","19.9","11.1","13.2"
"1098720","Vienna sausage, canned","Survey (FNDDS)","230","10.5","19.4","2.6"
"1098721","Pickled sausage","Survey (FNDDS)","319","18.1","26","2.13"
"1098722","Luncheon meat, NFS","Survey (FNDDS)","106","16.7","3.73","0.27"
"1098723","Ham, prepackaged or deli, luncheon meat","Survey (FNDDS)","106","16.7","3.73","0.27"
"1098724","Ham, prepackaged or deli, luncheon meat, reduced sodium","Survey (FNDDS)","106","16.7","3.73","0.27"
"1098725","Chicken, prepackaged or deli, luncheon meat","Survey (FNDDS)","98","17.4","1.86","2.92"
"1098726","Chicken, prepackaged or deli, luncheon meat, reduced sodium","Survey (FNDDS)","98","17.4","1.86","2.92"
"1098727","Ham luncheon meat, loaf type","Survey (FNDDS)","117","18","4.39","1.57"
"1098728","Ham and pork, canned luncheon meat, chopped, minced, pressed, spiced","Survey (FNDDS)","315","13.4","26.6","4.6"
"1098729","Ham, pork and chicken, canned luncheon meat, chopped, minced, pressed, spiced, reduced fat and reduced sodium","Survey (FNDDS)","293","12.5","25.1","3.4"
"1098730","Ham, pork, and chicken, canned luncheon meat, chopped, minced, pressed, spiced, reduced sodium","Survey (FNDDS)","293","12.5","25.1","3.4"
"1098731","Liverwurst","Survey (FNDDS)","327","14.5","28.5","3.1"
"1098732","Luncheon meat, loaf type","Survey (FNDDS)","225","11.2","16","8.46"
"1098733","Turkey, prepackaged or deli, luncheon meat","Survey (FNDDS)","106","14.8","3.77","2.2"
